prec_no,station_name,block_no,station_type
34,石巻,47592,s
34,築館,0244,a
34,米山,1029,a
34,蔵王,1564,a
34,駒ノ湯,1126,a
34,鹿島台,0249,a
35,向町,0910,a
35,大井沢,1292,a
35,小国,0277,a
35,尾花沢,1039,a
35,山形,47588,s
35,左沢,0272,a
35,差首鍋,0260,a
35,新庄,47520,s
35,村山,1539,a
35,東根,1488,a
35,楯岡,0271,a
35,浜中,1465,a
35,狩川,0264,a
35,米沢,0279,a
35,肘折,1125,a
35,酒田,47587,s
35,金山,0262,a
35,長井,0275,a
35,飛島,1291,a
35,高峰,0278,a
35,高畠,1132,a
35,鶴岡,0263,a
35,鼠ケ関,1040,a
36,上遠野,1127,a
36,二本松,0291,a
36,南郷,0301,a
36,古殿,1634,a
36,只見,0297,a
36,喜多方,0286,a
36,小名浜,47598,s
36,小野新町,0304,a
36,山田,1607,a
36,川内,1129,a
36,広野,1034,a
36,新地,1633,a
36,東白川,0312,a
36,桧原,1282,a
36,桧枝岐,1295,a
36,梁川,0281,a
36,浪江,0295,a
36,湯本,1294,a
36,猪苗代,0290,a
36,玉川,1466,a
36,田島,0303,a
36,白河,47597,s
36,相馬,0285,a
36,石川,0307,a
36,福島,47595,s
36,船引,0294,a
36,若松,47570,s
36,茂庭,1293,a
36,西会津,1031,a
36,郡山,0299,a
36,金山,1044,a
36,飯舘,1130,a
36,鷲倉,1116,a
40,つくば（館野）,47646,s
40,下妻,0322,a
40,下館,1530,a
40,北茨城,0315,a
40,古河,0320,a
40,土浦,0324,a
40,大子,0316,a
40,常総,1661,a
40,常陸大宮,1331,a
40,日立,1011,a
40,水戸,47629,s
40,笠間,0318,a
40,筑波山,1082,a
40,鉾田,1245,a
40,高萩,1635,a
40,鹿嶋,0325,a
40,龍ケ崎,1014,a
41,五十里,1015,a
41,今市,1333,a
41,佐野,1018,a
41,土呂部,1221,a
41,塩谷,1334,a
41,大田原,0331,a
41,奥日光（日光）,47690,s
41,宇都宮,47615,s
41,小山,0341,a
41,日光東町,1675,a
41,烏山,1017,a
41,真岡,0338,a
41,那須烏山,1605,a
41,那須高原,0326,a
41,鹿沼,0335,a
41,黒磯,0329,a
42,みなかみ,1019,a
42,上里見,0353,a
42,中之条,1020,a
42,伊勢崎,1021,a
42,前橋,47624,s
42,桐生,0351,a
42,沼田,0346,a
42,田代,0348,a
42,神流,1223,a
42,草津,0343,a
42,藤原,1222,a
42,西野牧,0354,a
42,館林,0356,a
43,さいたま,0363,a
43,久喜,0359,a
43,寄居,1009,a
43,所沢,1070,a
43,熊谷,47626,s
43,秩父,47641,s
43,越谷,0364,a
43,鳩山,1232,a
44,三宅伊豆,1525,a
44,三宅坪田,1506,a
44,三宅島,47677,s
44,三宅島阿古,1509,a
44,八丈島,47678,s
44,八王子,0366,a
44,八重見ヶ原,1468,a
44,南鳥島,47991,s
44,大島,47675,s
44,大島北ノ山,1467,a
44,小河内,0365,a
44,府中,1133,a
44,新島,1134,a
44,新島,1522,a
44,東京,47662,s
44,江戸川臨海,0370,a
44,父島,47971,s
44,神津島,1523,a
44,練馬,1002,a
44,羽田,0371,a
44,青梅,1001,a
45,佐倉,0916,a
45,勝浦,47674,s
45,千葉,47682,s
45,坂畑,1241,a
45,成田,0378,a
45,我孫子,0376,a
45,木更津,0382,a
45,横芝光,1003,a
45,牛久,1238,a
45,船橋,1236,a
45,茂原,0381,a
45,銚子,47648,s
45,館山,47672,s
45,香取,0375,a
45,鴨川,0384,a
46,三浦,0392,a
46,小田原,1008,a
46,横浜,47670,s
46,江ノ島,0391,a
46,海老名,0388,a
46,辻堂,1443,a
48,上田,0402,a
48,伊那,1445,a
48,佐久,0408,a
48,信州新町,0400,a
48,信濃町,0394,a
48,南信濃,1323,a
48,南木曽,1022,a
48,原村,0414,a
48,大町,0399,a
48,奈川,1312,a
48,木曽平沢,0413,a
48,木曽福島,0417,a
48,木祖薮原,1666,a
48,東御,0993,a
48,松本,47618,s
48,松本今井,1529,a
48,浪合,1317,a
48,白馬,0396,a
48,穂高,0404,a
48,立科,1300,a
48,菅平,0992,a
48,諏訪,47620,s
48,軽井沢,47622,s
48,辰野,1319,a
48,野沢温泉,0393,a
48,野辺山,0415,a
48,長野,47610,s
48,開田高原,1314,a
48,飯山,0395,a
48,飯島,0424,a
48,飯田,47637,s
48,高遠,0418,a
49,切石,1234,a
49,勝沼,0433,a
49,南部,0439,a
49,古関,0436,a
49,大月,0434,a
49,大泉,1023,a
49,富士山,47639,s
49,山中,0438,a
49,河口湖,47640,s
49,甲府,47638,s
49,韮崎,1024,a
50,三島,47657,s
50,井川,1338,a
50,佐久間,0986,a
50,天竜,0451,a
50,富士,0442,a
50,富士山,47639,s
50,川根本町,0445,a
50,御前崎,47655,s
50,御殿場,0441,a
50,松崎,0456,a
50,浜松,47654,s
50,清水,1243,a
50,熱海伊豆山,1673,a
50,石廊崎,47666,s
50,磐田,1244,a
50,稲取,0457,a
