id,station_name,prec_no,block_no,station_type,earliest_year
854,小値賀,84,1535,a,1976
855,島原,84,0962,a,1976
856,平戸,84,47805,s,1872
857,有川,84,1138,a,1976
858,松浦,84,0814,a,1976
859,石田,84,1478,a,1976
860,福江,84,47843,s,1872
861,絹笠山,84,1676,a,1976
862,美津島,84,1538,a,1976
863,脇岬,84,1670,a,1976
864,芦辺,84,1144,a,1976
865,西海,84,1672,a,1976
866,野母崎,84,1441,a,1976
867,長崎,84,47817,s,1872
868,雲仙岳,84,47818,s,1872
869,頭ヶ島,84,1536,a,1976
870,鰐浦,84,1453,a,1976
871,伊万里,85,1075,a,1976
872,佐賀,85,47813,s,1872
873,唐津,85,1610,a,1976
874,嬉野,85,0830,a,1976
875,川副,85,1480,a,1976
876,枝去木,85,0824,a,1976
877,白石,85,0829,a,1976
878,三角,86,1081,a,1976
879,上,86,0926,a,1976
880,人吉,86,47824,s,1872
881,八代,86,0846,a,1976
882,南小国,86,0833,a,1976
883,南阿蘇,86,1660,a,1976
884,岱明,86,0834,a,1976
885,本渡,86,0845,a,1976
886,松島,86,0843,a,1976
887,水俣,86,0924,a,1976
888,熊本,86,47819,s,1872
889,牛深,86,47838,s,1872
890,甲佐,86,0842,a,1976
891,益城,86,0923,a,1976
892,菊池,86,0835,a,1976
893,阿蘇乙姫,86,1240,a,1976
894,阿蘇山,86,47821,s,1872
895,高森,86,0840,a,1976
896,鹿北,86,0832,a,1976
897,串間,87,0872,a,1976
898,加久藤,87,0860,a,1976
899,古江,87,1135,a,1976
900,宮崎,87,47830,s,1872
901,小林,87,0863,a,1976
902,延岡,87,47822,s,1872
903,日向,87,0857,a,1976
904,油津,87,47835,s,1872
905,田野,87,1663,a,1976
906,神門,87,1353,a,1976
907,西米良,87,1345,a,1976
908,西都,87,0861,a,1976
909,赤江,87,1481,a,1976
910,都城,87,47829,s,1872
911,青島,87,0868,a,1976
912,鞍岡,87,1348,a,1976
913,高千穂,87,0852,a,1976
914,高鍋,87,0859,a,1976
915,さつま柏原,88,0878,a,1976
916,上中,88,0898,a,1976
917,与論島,88,1277,a,1976
918,中之島,88,1540,a,1976
919,中甑,88,0879,a,1976
920,中種子,88,0897,a,1976
921,伊仙,88,1139,a,1976
922,内之浦,88,0895,a,1976
923,加世田,88,0887,a,1976
924,古仁屋,88,0980,a,1976
925,名瀬,88,47909,s,1872
926,喜入,88,0890,a,1976
927,喜界島,88,1296,a,1976
928,大口,88,0875,a,1976
929,天城,88,1542,a,1976
930,尾之間,88,0899,a,1976
931,屋久島,88,47836,s,1872
932,川内,88,0880,a,1976
933,志布志,88,0936,a,1976
934,指宿,88,0893,a,1976
935,東市来,88,0883,a,1976
936,枕崎,88,47831,s,1872
937,沖永良部,88,47942,s,1872
938,溝辺,88,0881,a,1976
939,牧之原,88,0935,a,1976
940,田代,88,1136,a,1976
941,種子島,88,47837,s,1872
942,笠利,88,1520,a,1976
943,肝付前田,88,1181,a,1976
944,肝属川,88,0891,a,1976
945,輝北,88,1146,a,1976
946,阿久根,88,47823,s,1872
947,鹿屋,88,0937,a,1976
948,下地島,91,1490,a,1976
949,与那国島,91,47912,s,1872
950,久米島,91,47929,s,1872
951,仲筋,91,1491,a,1976
952,伊原間,91,1145,a,1976
953,伊是名,91,1147,a,1976
954,伊良部,91,1246,a,1976
955,北原,91,1534,a,1976
956,北大東,91,1517,a,1976
957,南大東（南大東島）,91,47945,s,1872
958,名護,91,47940,s,1872
959,多良間,91,1247,a,1976
960,大原,91,1251,a,1976
961,奥,91,0901,a,1976
962,安次嶺,91,1482,a,1976
963,宮古島,91,47927,s,1872
964,宮城島,91,1596,a,1976
965,志多阿原,91,1494,a,1976
966,慶良間,91,1516,a,1976
967,所野,91,1493,a,1976
968,旧東,91,1518,a,1976
969,波照間,91,1354,a,1976
970,渡嘉敷,91,1152,a,1976
971,盛山,91,1639,a,1976
972,真栄里,91,1484,a,1976
973,石垣島,91,47918,s,1872
974,粟国,91,1515,a,1976
975,糸数,91,0909,a,1976
976,西表島,91,47917,s,1872
977,金武,91,1064,a,1976
978,鏡原,91,1483,a,1976
979,昭和,99,89532,s,1872
